28620; 61726; 72969; 77034; 74176; 76917; 74829; 77710; 1079960; 1081808; 1080236; 1082460; 1082985; 1082225; 1083628; 1083179; 1083073; 1083446; 1082080; 1089349; 1085989; 1086233; 1084858; 1089848; 1090889; 1092939; 1092296; 1093402; 1093324; 1094438; 1095011; 1100986;
387082; 241140; 266736; 207254; 199637; 175136; 170626; 159035; 1156378; 1148501; 1141286; 1139803; 1137306; 1134776; 1134605; 1130849; 1129540; 1127144; 1124441; 1125656; 1124388; 1124627; 1124402; 1128243; 1128712; 1126372; 1128225; 1129332; 1127203; 1129383; 1127337; 1126848;
2480423; 1493395; 1506437; 1136592; 1026142; 911844; 827373; 736253; 1677212; 1631543; 1588482; 1564976; 1529864; 1508930; 1496288; 1471073; 1443466; 1431937; 1417499; 1403179; 1392170; 1381359; 1373061; 1367907; 1354214; 1351131; 1341324; 1340845; 1336693; 1334238; 1331409; 1327979;
8125303; 5242243; 4449450; 3160401; 2926027; 2842779; 2352243; 1980548; 2943435; 2884393; 2670514; 2422438; 2378672; 2340424; 2209596; 2247898; 2179588; 2117288; 2064206; 2001943; 1933906; 1904844; 1928786; 1930507; 1853461; 1826576; 1817972; 1794563; 1767799; 1794197; 1753880; 1728144;
20983525; 12271892; 10165729; 7137721; 6673092; 5336115; 5284865; 4246193; 5058083; 4524394; 4758343; 4195688; 4100941; 4230008; 4105777; 3587257; 3480561; 3382998; 3198461; 3098954; 3061899; 2975602; 2880130; 2791352; 2693919; 2630357; 2585317; 2623347; 2603515; 2549393; 2503005; 2467305;
166379970; 100837955; 80918745; 55790987; 52392603; 41592301; 41205091; 40843359; 36783618; 30558324; 30924008; 29290156; 26050246; 23440391; 24683678; 19375422; 20916915; 19229936; 18044078; 16818393; 16112406; 14933827; 14709645; 13696504; 13134274; 12609749; 12479092; 12103963; 11735476; 11572751; 11389758; 11336209;
632746869; 264213790; 272750881; 225929191; 179090583; 151498720; 128417854; 138600275; 108384604; 90531461; 96271437; 75647946; 78952640; 74202129; 74378789; 75648567; 65844160; 59940820; 59531376; 53972677; 52230203; 48066194; 45685428; 44254206; 43092017; 40470689; 39546252; 37770650; 37101514; 35578463; 34854646; 36072212;
1344659802; 654565738; 647495247; 574401552; 533729819; 389672293; 337456173; 327763982; 257313897; 233072767; 240101170; 225376950; 206024637; 197774790; 183730416; 177279638; 160178847; 143170872; 135774411; 121144958; 115140133; 113900069; 109246352; 101936769; 99544351; 95358321; 91039555; 86959308; 85124934; 83105214; 83543073; 83916770;
